Specialty,Division,Success_Count,Success_Count_History,Success_Count_Diff,Base_Score,Base_Score_History,Base_Score_Diff,Avg_Score,Avg_Score_History,Avg_Score_Diff,Top_5_Destination_Regions,Top_5_Competitive_Regions,National_Points_Range,National_Points_Range_History,National_Points_Range_Diff,Special_Category_Rate,Special_Category_Rate_History,Special_Category_Rate_Diff,Active_Regions_Rate,Active_Regions_Rate_History,Active_Regions_Rate_Diff,Leaving_Count,Leaving_Count_History,Leaving_Count_Diff,Top_5_Targeting_1st,Avg_Score_Applicants,Avg_Score_Applicants_History,Avg_Score_Applicants_Diff,Average_Preference_Count,Average_Preference_Count_History,Average_Preference_Count_Diff,Points_Entrance_Gap,Points_Entrance_Gap_History,Points_Entrance_Gap_Diff,Odds_of_Transfer,Odds_of_Transfer_History,Odds_of_Transfer_Diff,Waiting_List_Absolute,Waiting_List_Absolute_History,Waiting_List_Absolute_Diff
ΔΕ02.02,Δευτεροβάθμια Ειδικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,,{},,,{},,{},{},,{},,,{},,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,{},,{},,,{},,,{},,,{},,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0
ΠΕ01,Δευτεροβάθμια Ειδικής,5,"{""2022"": 5, ""2023"": 4, ""2024"": 2, ""2025"": 0, ""2026"": 5}",5.0,40.46,"{""2022"": 31.4, ""2023"": 58.82, ""2024"": 31.72, ""2026"": 40.46}",8.74,70.76,"{""2022"": 64.65, ""2023"": 70.35, ""2024"": 37.47, ""2026"": 70.76}",33.29,"{""Α' ΛΕΣΒΟΥ"": 1, ""ΛΑΡΙΣΑΣ"": 1, ""ΦΘΙΩΤΙΔΑΣ"": 1, ""ΤΡΙΚΑΛΩΝ"": 1, ""ΡΟΔΟΠΗΣ"": 1}","{""ΛΑΡΙΣΑΣ"": 140.6, ""ΤΡΙΚΑΛΩΝ"": 51.38, ""Α' ΛΕΣΒΟΥ"": 50.61, ""ΦΘΙΩΤΙΔΑΣ"": 40.46}",100.14,"{""2022"": 85.0, ""2023"": 30.12, ""2024"": 11.51, ""2026"": 100.14}",88.63,20.0,"{""2022"": 20.0, ""2023"": 25.0, ""2024"": 0.0, ""2026"": 20.0}",,6.41,"{""2022"": 6.41, ""2023"": 5.13, ""2024"": 2.56, ""2025"": 0.0, ""2026"": 6.41}",6.41,10,"{""2024"": 5, ""2025"": 2, ""2026"": 10}",8.0,"{""ΛΑΡΙΣΑΣ"": 1, ""ΙΩΑΝΝΙΝΩΝ"": 1, ""Α' ΛΕΣΒΟΥ"": 1, ""ΤΡΙΚΑΛΩΝ"": 1, ""ΦΘΙΩΤΙΔΑΣ"": 1}",47.35,"{""2024"": 67.47, ""2025"": 81.68, ""2026"": 47.35}",-34.33,2.8,"{""2024"": 6.0, ""2025"": 1.0, ""2026"": 2.8}",1.8,23.41,"{""2024"": -30.0, ""2026"": 23.41}",53.41,50.0,"{""2024"": 40.0, ""2025"": 0.0, ""2026"": 50.0}",50.0,5,"{""2024"": 3, ""2025"": 2, ""2026"": 5}",3.0
ΠΕ02,Δευτεροβάθμια Ειδικής,153,"{""2022"": 156, ""2023"": 109, ""2024"": 103, ""2025"": 125, ""2026"": 153}",28.0,24.23,"{""2022"": 24.24, ""2023"": 28.93, ""2024"": 28.97, ""2025"": 22.44, ""2026"": 24.23}",1.79,76.28,"{""2022"": 69.6, ""2023"": 67.49, ""2024"": 62.86, ""2025"": 67.68, ""2026"": 76.28}",8.6,"{""Δ' ΑΘΗΝΑΣ"": 17, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 16, ""Α' ΑΘΗΝΑΣ"": 13, ""Β' ΑΘΗΝΑΣ"": 10, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 8}","{""ΠΡΕΒΕΖΑΣ"": 126.9, ""Α' ΧΙΟΥ"": 118.8, ""ΗΜΑΘΙΑΣ"": 102.4, ""ΞΑΝΘΗΣ"": 99.73, ""Α' ΛΕΣΒΟΥ"": 92.65}",102.67,"{""2022"": 81.76, ""2023"": 88.75, ""2024"": 160.36, ""2025"": 84.5, ""2026"": 102.67}",18.17,10.46,"{""2022"": 6.41, ""2023"": 10.09, ""2024"": 8.74, ""2025"": 0.0, ""2026"": 10.46}",10.46,57.69,"{""2022"": 48.72, ""2023"": 50.0, ""2024"": 60.26, ""2025"": 43.59, ""2026"": 57.69}",14.1,259,"{""2024"": 256, ""2025"": 163, ""2026"": 259}",96.0,"{""Β' ΑΘΗΝΑΣ"": 27, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 26, ""Α' ΑΘΗΝΑΣ"": 16, ""Δ' ΑΘΗΝΑΣ"": 16, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 15}",66.04,"{""2024"": 57.83, ""2025"": 62.89, ""2026"": 66.04}",3.15,2.0,"{""2024"": 2.9, ""2025"": 2.33, ""2026"": 2.0}",-0.33,10.24,"{""2024"": 5.03, ""2025"": 4.79, ""2026"": 10.24}",5.45,59.07,"{""2024"": 40.23, ""2025"": 76.69, ""2026"": 59.07}",-17.62,106,"{""2024"": 153, ""2025"": 38, ""2026"": 106}",68.0
ΠΕ03,Δευτεροβάθμια Ειδικής,186,"{""2022"": 124, ""2023"": 45, ""2024"": 64, ""2025"": 61, ""2026"": 186}",125.0,18.45,"{""2022"": 29.48, ""2023"": 19.12, ""2024"": 9.2, ""2025"": 20.65, ""2026"": 18.45}",-2.2,48.04,"{""2022"": 62.43, ""2023"": 53.57, ""2024"": 42.68, ""2025"": 49.72, ""2026"": 48.04}",-1.68,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 16, ""Β' ΑΘΗΝΑΣ"": 15, ""ΗΡΑΚΛΕΙΟΥ"": 14, ""ΛΑΡΙΣΑΣ"": 13, ""ΚΟΖΑΝΗΣ"": 12}","{""ΚΟΡΙΝΘΙΑΣ"": 98.49, ""Β' ΜΑΓΝΗΣΙΑΣ"": 73.76, ""ΚΑΡΔΙΤΣΑΣ"": 51.72, ""Α' ΕΒΡΟΥ"": 50.15, ""ΡΕΘΥΜΝΟΥ"": 47.31}",80.04,"{""2022"": 113.02, ""2023"": 71.94, ""2024"": 69.52, ""2025"": 70.89, ""2026"": 80.04}",9.15,3.23,"{""2022"": 5.65, ""2023"": 2.22, ""2024"": 1.56, ""2025"": 1.64, ""2026"": 3.23}",1.59,52.56,"{""2022"": 53.85, ""2023"": 35.9, ""2024"": 41.03, ""2025"": 35.9, ""2026"": 52.56}",16.66,225,"{""2024"": 101, ""2025"": 71, ""2026"": 225}",154.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 20, ""ΚΟΖΑΝΗΣ"": 15, ""ΗΡΑΚΛΕΙΟΥ"": 14, ""ΛΑΡΙΣΑΣ"": 12, ""Β' ΑΘΗΝΑΣ"": 12}",42.22,"{""2024"": 40.55, ""2025"": 45.51, ""2026"": 42.22}",-3.29,2.19,"{""2024"": 2.14, ""2025"": 1.56, ""2026"": 2.19}",0.63,5.82,"{""2024"": 2.13, ""2025"": 4.21, ""2026"": 5.82}",1.61,82.67,"{""2024"": 63.37, ""2025"": 85.92, ""2026"": 82.67}",-3.25,39,"{""2024"": 37, ""2025"": 10, ""2026"": 39}",29.0
ΠΕ04.01,Δευτεροβάθμια Ειδικής,35,"{""2022"": 27, ""2023"": 12, ""2024"": 17, ""2025"": 24, ""2026"": 35}",11.0,32.61,"{""2022"": 37.8, ""2023"": 47.7, ""2024"": 38.92, ""2025"": 47.1, ""2026"": 32.61}",-14.49,68.78,"{""2022"": 60.61, ""2023"": 61.93, ""2024"": 71.5, ""2025"": 73.06, ""2026"": 68.78}",-4.28,"{""ΛΑΡΙΣΑΣ"": 4, ""ΑΧΑΙΑΣ"": 3, ""ΗΡΑΚΛΕΙΟΥ"": 2, ""ΚΟΖΑΝΗΣ"": 2, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 2}","{""ΗΡΑΚΛΕΙΟΥ"": 109.6, ""Α' ΧΙΟΥ"": 93.32, ""ΚΙΛΚΙΣ"": 91.52, ""ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ"": 77.65, ""ΠΡΕΒΕΖΑΣ"": 74.74}",76.99,"{""2022"": 42.4, ""2023"": 24.98, ""2024"": 100.18, ""2025"": 122.16, ""2026"": 76.99}",-45.17,11.43,"{""2022"": 3.7, ""2023"": 0.0, ""2024"": 11.76, ""2025"": 0.0, ""2026"": 11.43}",11.43,28.21,"{""2022"": 23.08, ""2023"": 11.54, ""2024"": 17.95, ""2025"": 17.95, ""2026"": 28.21}",10.26,52,"{""2024"": 48, ""2025"": 43, ""2026"": 52}",9.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 7, ""ΛΑΡΙΣΑΣ"": 6, ""ΑΧΑΙΑΣ"": 5, ""Β' ΑΘΗΝΑΣ"": 3, ""ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ"": 3}",63.67,"{""2024"": 61.47, ""2025"": 66.96, ""2026"": 63.67}",-3.29,2.0,"{""2024"": 2.54, ""2025"": 2.26, ""2026"": 2.0}",-0.26,5.11,"{""2024"": 10.03, ""2025"": 6.1, ""2026"": 5.11}",-0.99,67.31,"{""2024"": 35.42, ""2025"": 55.81, ""2026"": 67.31}",11.5,17,"{""2024"": 31, ""2025"": 19, ""2026"": 17}",-2.0
ΠΕ04.02,Δευτεροβάθμια Ειδικής,20,"{""2022"": 12, ""2023"": 3, ""2024"": 8, ""2025"": 9, ""2026"": 20}",11.0,29.56,"{""2022"": 46.15, ""2023"": 50.89, ""2024"": 23.15, ""2025"": 48.31, ""2026"": 29.56}",-18.75,55.74,"{""2022"": 72.98, ""2023"": 65.9, ""2024"": 43.22, ""2025"": 62.96, ""2026"": 55.74}",-7.22,"{""Δ' ΑΘΗΝΑΣ"": 3, ""ΑΧΑΙΑΣ"": 2, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 2, ""Β' ΑΘΗΝΑΣ"": 2, ""ΛΑΡΙΣΑΣ"": 1}","{""Α' ΑΘΗΝΑΣ"": 82.17, ""ΑΡΓΟΛΙΔΑΣ"": 69.65, ""ΒΟΙΩΤΙΑΣ"": 68.36, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 64.23, ""ΜΕΣΣΗΝΙΑΣ"": 57.83}",52.61,"{""2022"": 41.97, ""2023"": 29.72, ""2024"": 41.06, ""2025"": 19.6, ""2026"": 52.61}",33.01,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 11.11, ""2026"": 0.0}",-11.11,19.23,"{""2022"": 14.1, ""2023"": 3.85, ""2024"": 8.97, ""2025"": 7.69, ""2026"": 19.23}",11.54,26,"{""2024"": 15, ""2025"": 11, ""2026"": 26}",15.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 3, ""Β' ΑΘΗΝΑΣ"": 3, ""Δ' ΑΘΗΝΑΣ"": 2, ""ΑΧΑΙΑΣ"": 2, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1}",54.36,"{""2024"": 45.51, ""2025"": 60.82, ""2026"": 54.36}",-6.46,2.18,"{""2024"": 3.73, ""2025"": 1.8, ""2026"": 2.18}",0.38,1.38,"{""2024"": -2.29, ""2025"": 2.14, ""2026"": 1.38}",-0.76,76.92,"{""2024"": 53.33, ""2025"": 81.82, ""2026"": 76.92}",-4.9,6,"{""2024"": 7, ""2025"": 2, ""2026"": 6}",4.0
ΠΕ04.04,Δευτεροβάθμια Ειδικής,8,"{""2022"": 9, ""2023"": 5, ""2024"": 3, ""2025"": 5, ""2026"": 8}",3.0,35.34,"{""2022"": 36.09, ""2023"": 40.2, ""2024"": 37.47, ""2025"": 32.66, ""2026"": 35.34}",2.68,59.91,"{""2022"": 57.76, ""2023"": 49.5, ""2024"": 40.28, ""2025"": 57.32, ""2026"": 59.91}",2.59,"{""Δ' ΑΘΗΝΑΣ"": 1, ""ΡΕΘΥΜΝΟΥ"": 1, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1, ""ΛΑΣΙΘΙΟΥ"": 1, ""ΚΑΡΔΙΤΣΑΣ"": 1}","{""ΗΡΑΚΛΕΙΟΥ"": 114.2, ""ΛΑΣΙΘΙΟΥ"": 102.6, ""ΛΑΡΙΣΑΣ"": 56.14, ""ΚΑΡΔΙΤΣΑΣ"": 47.34, ""ΡΕΘΥΜΝΟΥ"": 46.05}",78.86,"{""2022"": 53.24, ""2023"": 22.18, ""2024"": 5.62, ""2025"": 57.09, ""2026"": 78.86}",21.77,0.0,"{""2022"": 0.0, ""2023"": 20.0, ""2024"": 33.33, ""2025"": 0.0, ""2026"": 0.0}",0.0,10.26,"{""2022"": 10.26, ""2023"": 6.41, ""2024"": 3.85, ""2025"": 6.41, ""2026"": 10.26}",3.85,13,"{""2024"": 9, ""2025"": 10, ""2026"": 13}",3.0,"{""ΗΡΑΚΛΕΙΟΥ"": 1, ""ΛΑΣΙΘΙΟΥ"": 1, ""ΚΑΡΔΙΤΣΑΣ"": 1, ""ΤΡΙΚΑΛΩΝ"": 1, ""ΘΕΣΠΡΩΤΙΑΣ"": 1}",48.75,"{""2024"": 40.71, ""2025"": 43.76, ""2026"": 48.75}",4.99,3.0,"{""2024"": 3.57, ""2025"": 2.0, ""2026"": 3.0}",1.0,11.16,"{""2024"": -0.43, ""2025"": 13.56, ""2026"": 11.16}",-2.4,61.54,"{""2024"": 33.33, ""2025"": 50.0, ""2026"": 61.54}",11.54,5,"{""2024"": 6, ""2025"": 5, ""2026"": 5}",0.0
ΠΕ04.05,Δευτεροβάθμια Ειδικής,5,"{""2022"": 3, ""2023"": 1, ""2024"": 0, ""2025"": 4, ""2026"": 5}",1.0,21.54,"{""2022"": 42.07, ""2023"": 36.25, ""2025"": 42.19, ""2026"": 21.54}",-20.65,57.72,"{""2022"": 53.57, ""2023"": 36.25, ""2025"": 61.52, ""2026"": 57.72}",-3.8,"{""ΛΑΡΙΣΑΣ"": 1, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1, ""ΗΜΑΘΙΑΣ"": 1, ""ΚΑΡΔΙΤΣΑΣ"": 1, ""Α' ΜΑΓΝΗΣΙΑΣ"": 1}","{""ΛΑΡΙΣΑΣ"": 112.3, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 66.6, ""ΚΑΡΔΙΤΣΑΣ"": 60.03, ""Α' ΜΑΓΝΗΣΙΑΣ"": 28.11, ""ΗΜΑΘΙΑΣ"": 21.54}",90.76,"{""2022"": 32.92, ""2025"": 59.61, ""2026"": 90.76}",31.15,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,6.41,"{""2022"": 3.85, ""2023"": 1.28, ""2024"": 0.0, ""2025"": 5.13, ""2026"": 6.41}",1.28,9,"{""2024"": 6, ""2025"": 5, ""2026"": 9}",4.0,"{""ΛΑΡΙΣΑΣ"": 2, ""ΔΡΑΜΑΣ"": 1, ""Α' ΛΕΣΒΟΥ"": 1, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1}",58.0,"{""2024"": 60.28, ""2025"": 58.73, ""2026"": 58.0}",-0.73,3.2,"{""2024"": 4.33, ""2025"": 4.4, ""2026"": 3.2}",-1.2,-0.28,"{""2025"": 2.79, ""2026"": -0.28}",-3.07,55.56,"{""2024"": 0.0, ""2025"": 80.0, ""2026"": 55.56}",-24.44,4,"{""2024"": 6, ""2025"": 1, ""2026"": 4}",3.0
ΠΕ05,Δευτεροβάθμια Ειδικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,,{},,,{},,{},{},,{},,,{},,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,{},,{},,,{},,,{},,,{},,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0
ΠΕ06,Δευτεροβάθμια Ειδικής,6,"{""2022"": 10, ""2023"": 2, ""2024"": 3, ""2025"": 6, ""2026"": 6}",0.0,48.47,"{""2022"": 32.39, ""2023"": 56.55, ""2024"": 32.06, ""2025"": 40.4, ""2026"": 48.47}",8.07,64.44,"{""2022"": 60.65, ""2023"": 83.7, ""2024"": 34.68, ""2025"": 64.69, ""2026"": 64.44}",-0.25,"{""ΛΑΡΙΣΑΣ"": 2, ""ΑΡΚΑΔΙΑΣ"": 1, ""Β' ΑΘΗΝΑΣ"": 1, ""ΤΡΙΚΑΛΩΝ"": 1, ""ΚΟΖΑΝΗΣ"": 1}","{""Β' ΑΘΗΝΑΣ"": 90.58, ""ΛΑΡΙΣΑΣ"": 63.38, ""ΑΡΚΑΔΙΑΣ"": 55.34, ""ΚΟΖΑΝΗΣ"": 48.47}",42.11,"{""2022"": 76.21, ""2023"": 54.29, ""2024"": 5.7, ""2025"": 58.26, ""2026"": 42.11}",-16.15,33.33,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 33.33}",33.33,6.41,"{""2022"": 11.54, ""2023"": 2.56, ""2024"": 3.85, ""2025"": 6.41, ""2026"": 6.41}",0.0,12,"{""2024"": 16, ""2025"": 10, ""2026"": 12}",2.0,"{""ΤΡΙΚΑΛΩΝ"": 2, ""ΛΑΡΙΣΑΣ"": 2, ""Δ' ΑΘΗΝΑΣ"": 2, ""Α' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ"": 1, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1}",56.4,"{""2024"": 49.24, ""2025"": 57.46, ""2026"": 56.4}",-1.06,2.4,"{""2024"": 3.33, ""2025"": 4.5, ""2026"": 2.4}",-2.1,8.04,"{""2024"": -14.56, ""2025"": 7.23, ""2026"": 8.04}",0.81,50.0,"{""2024"": 18.75, ""2025"": 60.0, ""2026"": 50.0}",-10.0,6,"{""2024"": 13, ""2025"": 4, ""2026"": 6}",2.0
ΠΕ07,Δευτεροβάθμια Ειδικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,,{},,,{},,{},{},,{},,,{},,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,{},,{},,,{},,,{},,,{},,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0
ΠΕ08,Δευτεροβάθμια Ειδικής,13,"{""2022"": 25, ""2023"": 5, ""2024"": 1, ""2025"": 8, ""2026"": 13}",5.0,31.32,"{""2022"": 19.0, ""2023"": 47.04, ""2025"": 43.04, ""2026"": 31.32}",-11.72,65.16,"{""2022"": 51.05, ""2023"": 57.61, ""2025"": 58.57, ""2026"": 65.16}",6.59,"{""Α' ΑΘΗΝΑΣ"": 3, ""Δ' ΑΘΗΝΑΣ"": 2, ""Α' ΔΩΔΕΚΑΝΗΣΟΥ"": 1, ""Α' ΠΕΙΡΑΙΑ"": 1, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 1}","{""Β' ΑΘΗΝΑΣ"": 115.1, ""Α' ΔΩΔΕΚΑΝΗΣΟΥ"": 112.8, ""Α' ΠΕΙΡΑΙΑ"": 54.5, ""Δ' ΑΘΗΝΑΣ"": 52.36, ""ΠΕΛΛΑΣ"": 50.34}",83.78,"{""2022"": 48.3, ""2023"": 20.79, ""2025"": 74.52, ""2026"": 83.78}",9.26,15.38,"{""2022"": 4.0, ""2023"": 0.0, ""2024"": 100.0, ""2025"": 0.0, ""2026"": 15.38}",15.38,12.82,"{""2022"": 19.23, ""2023"": 5.13, ""2024"": 1.28, ""2025"": 8.97, ""2026"": 12.82}",3.85,15,"{""2024"": 3, ""2025"": 15, ""2026"": 15}",0.0,"{""Δ' ΑΘΗΝΑΣ"": 2, ""Α' ΑΘΗΝΑΣ"": 2, ""Α' ΜΑΓΝΗΣΙΑΣ"": 1, ""Β' ΑΘΗΝΑΣ"": 1, ""Α' ΔΩΔΕΚΑΝΗΣΟΥ"": 1}",67.31,"{""2024"": 80.09, ""2025"": 58.49, ""2026"": 67.31}",8.82,2.64,"{""2024"": 1.5, ""2025"": 3.09, ""2026"": 2.64}",-0.45,-2.15,"{""2025"": 0.08, ""2026"": -2.15}",-2.23,86.67,"{""2024"": 33.33, ""2025"": 53.33, ""2026"": 86.67}",33.34,2,"{""2024"": 2, ""2025"": 7, ""2026"": 2}",-5.0
ΠΕ11,Δευτεροβάθμια Ειδικής,11,"{""2022"": 10, ""2023"": 13, ""2024"": 16, ""2025"": 12, ""2026"": 11}",-1.0,38.63,"{""2022"": 69.88, ""2023"": 73.62, ""2024"": 33.31, ""2025"": 79.85, ""2026"": 38.63}",-41.22,89.48,"{""2022"": 92.19, ""2023"": 117.24, ""2024"": 108.89, ""2025"": 113.85, ""2026"": 89.48}",-24.37,"{""ΧΑΛΚΙΔΙΚΗΣ"": 1, ""ΔΡΑΜΑΣ"": 1, ""ΚΟΖΑΝΗΣ"": 1, ""ΦΘΙΩΤΙΔΑΣ"": 1, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 1}","{""ΛΑΡΙΣΑΣ"": 154.1, ""ΔΡΑΜΑΣ"": 125.5, ""ΧΑΝΙΩΝ"": 112.9, ""Α' ΕΥΒΟΙΑΣ"": 94.53, ""ΦΛΩΡΙΝΑΣ"": 86.06}",115.47,"{""2022"": 72.62, ""2023"": 122.36, ""2024"": 144.82, ""2025"": 128.6, ""2026"": 115.47}",-13.13,18.18,"{""2022"": 20.0, ""2023"": 15.38, ""2024"": 18.75, ""2025"": 8.33, ""2026"": 18.18}",9.85,14.1,"{""2022"": 12.82, ""2023"": 15.38, ""2024"": 17.95, ""2025"": 11.54, ""2026"": 14.1}",2.56,42,"{""2024"": 44, ""2025"": 24, ""2026"": 42}",18.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 4, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 3, ""ΠΙΕΡΙΑΣ"": 3, ""Β' ΑΘΗΝΑΣ"": 2, ""ΔΡΑΜΑΣ"": 2}",79.73,"{""2024"": 104.35, ""2025"": 108.95, ""2026"": 79.73}",-29.22,3.79,"{""2024"": 3.9, ""2025"": 3.23, ""2026"": 3.79}",0.56,9.75,"{""2024"": 4.54, ""2025"": 4.9, ""2026"": 9.75}",4.85,26.19,"{""2024"": 36.36, ""2025"": 50.0, ""2026"": 26.19}",-23.81,31,"{""2024"": 28, ""2025"": 12, ""2026"": 31}",19.0
ΠΕ33,Δευτεροβάθμια Ειδικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,,{},,,{},,{},{},,{},,,{},,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,{},,{},,,{},,,{},,,{},,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0
ΠΕ34,Δευτεροβάθμια Ειδικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,,{},,,{},,{},{},,{},,,{},,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,{},,{},,,{},,,{},,,{},,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0
ΠΕ78,Δευτεροβάθμια Ειδικής,12,"{""2022"": 12, ""2023"": 7, ""2024"": 13, ""2025"": 8, ""2026"": 12}",4.0,19.19,"{""2022"": 35.55, ""2023"": 45.6, ""2024"": 41.09, ""2025"": 42.51, ""2026"": 19.19}",-23.32,46.64,"{""2022"": 53.95, ""2023"": 60.01, ""2024"": 61.53, ""2025"": 59.28, ""2026"": 46.64}",-12.64,"{""ΧΑΝΙΩΝ"": 2, ""Α' ΑΘΗΝΑΣ"": 1, ""ΗΜΑΘΙΑΣ"": 1, ""Α' ΚΑΒΑΛΑΣ"": 1, ""ΞΑΝΘΗΣ"": 1}","{""ΗΜΑΘΙΑΣ"": 64.63, ""Α' ΜΑΓΝΗΣΙΑΣ"": 63.28, ""Α' ΚΑΒΑΛΑΣ"": 61.39, ""ΞΑΝΘΗΣ"": 49.05, ""ΛΑΣΙΘΙΟΥ"": 41.0}",45.44,"{""2022"": 65.05, ""2023"": 34.87, ""2024"": 47.22, ""2025"": 40.86, ""2026"": 45.44}",4.58,33.33,"{""2022"": 25.0, ""2023"": 28.57, ""2024"": 15.38, ""2025"": 0.0, ""2026"": 33.33}",33.33,14.1,"{""2022"": 12.82, ""2023"": 6.41, ""2024"": 12.82, ""2025"": 10.26, ""2026"": 14.1}",3.84,32,"{""2024"": 30, ""2025"": 18, ""2026"": 32}",14.0,"{""ΗΡΑΚΛΕΙΟΥ"": 5, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 4, ""ΛΑΡΙΣΑΣ"": 3, ""Α' ΑΘΗΝΑΣ"": 2, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 2}",52.96,"{""2024"": 54.28, ""2025"": 59.6, ""2026"": 52.96}",-6.64,2.89,"{""2024"": 2.85, ""2025"": 4.46, ""2026"": 2.89}",-1.57,-6.32,"{""2024"": 7.25, ""2025"": -0.32, ""2026"": -6.32}",-6.0,37.5,"{""2024"": 43.33, ""2025"": 44.44, ""2026"": 37.5}",-6.94,20,"{""2024"": 17, ""2025"": 10, ""2026"": 20}",10.0
